adoption_id,customer_id,feature_id,date_id,adoption_date,activation_date,activation_lag_days,acquisition_channel,is_activated,days_to_first_transaction
ADO000696,CUST01260,FEAT002,20230225,2023-02-25,2023-02-28,3,In-App Banner,1,43.0
ADO000697,CUST03993,FEAT006,20220108,2022-01-08,2022-01-12,4,Email,1,16.0
ADO000698,CUST02050,FEAT002,20220820,2022-08-20,2022-09-04,15,Email,1,20.0
ADO000699,CUST03067,FEAT006,20221103,2022-11-03,2022-11-14,11,Email,1,45.0
ADO000700,CUST03509,FEAT001,20220706,2022-07-06,2022-07-23,17,Push Notification,1,15.0
ADO000701,CUST02208,FEAT002,20220422,2022-04-22,2022-05-06,14,Email,1,29.0
ADO000702,CUST03600,FEAT001,20220615,2022-06-15,2022-06-19,4,Email,1,19.0
ADO000703,CUST02898,FEAT002,20230321,2023-03-21,2023-03-21,0,In-App Banner,1,25.0
ADO000704,CUST02943,FEAT001,20220723,2022-07-23,2022-07-26,3,Referral,1,9.0
ADO000705,CUST01553,FEAT001,20221019,2022-10-19,2022-10-20,1,In-App Banner,1,5.0
ADO000706,CUST01096,FEAT001,20230209,2023-02-09,2023-02-22,13,Push Notification,1,39.0
ADO000707,CUST02714,FEAT005,20220202,2022-02-02,2022-02-07,5,In-App Banner,0,
ADO000708,CUST01631,FEAT007,20230506,2023-05-06,2023-06-05,30,Push Notification,1,18.0
ADO000709,CUST02178,FEAT004,20220502,2022-05-02,2022-05-15,13,Push Notification,1,60.0
ADO000710,CUST04007,FEAT002,20230718,2023-07-18,2023-08-02,15,Email,1,47.0
ADO000711,CUST02662,FEAT001,20230214,2023-02-14,2023-03-02,16,Referral,1,54.0
ADO000712,CUST03186,FEAT003,20220515,2022-05-15,2022-05-18,3,Email,0,41.0
ADO000713,CUST00174,FEAT003,20220510,2022-05-10,2022-05-14,4,In-App Banner,1,13.0
ADO000714,CUST02820,FEAT001,20230528,2023-05-28,2023-05-28,0,Organic,1,19.0
ADO000715,CUST01938,FEAT007,20220223,2022-02-23,2022-03-16,21,In-App Banner,0,38.0
ADO000716,CUST03520,FEAT006,20220109,2022-01-09,2022-01-22,13,Referral,1,53.0
ADO000717,CUST03934,FEAT001,20221024,2022-10-24,2022-11-02,9,Push Notification,1,50.0
ADO000718,CUST03981,FEAT002,20220326,2022-03-26,2022-04-19,24,In-App Banner,1,26.0
ADO000719,CUST03514,FEAT003,20220911,2022-09-11,2022-09-30,19,In-App Banner,1,49.0
ADO000720,CUST01250,FEAT002,20230608,2023-06-08,2023-06-13,5,In-App Banner,1,9.0
ADO000721,CUST02044,FEAT004,20221015,2022-10-15,2022-11-08,24,In-App Banner,1,25.0
ADO000722,CUST00943,FEAT003,20220927,2022-09-27,2022-10-19,22,Push Notification,1,26.0
ADO000723,CUST03516,FEAT001,20220723,2022-07-23,2022-08-07,15,Organic,1,53.0
ADO000724,CUST00845,FEAT003,20230530,2023-05-30,2023-06-18,19,In-App Banner,1,48.0
ADO000725,CUST01485,FEAT001,20220713,2022-07-13,2022-08-09,27,Push Notification,1,5.0
ADO000726,CUST04844,FEAT002,20220602,2022-06-02,2022-06-09,7,Organic,1,11.0
ADO000727,CUST00987,FEAT003,20220516,2022-05-16,2022-05-28,12,In-App Banner,1,53.0
ADO000728,CUST00315,FEAT003,20221008,2022-10-08,2022-10-14,6,Email,1,27.0
ADO000729,CUST01198,FEAT003,20230313,2023-03-13,2023-03-13,0,Referral,1,59.0
ADO000730,CUST01636,FEAT005,20220404,2022-04-04,2022-05-01,27,Referral,1,10.0
ADO000731,CUST00418,FEAT002,20230125,2023-01-25,2023-02-07,13,Email,1,50.0
ADO000732,CUST04301,FEAT001,20221110,2022-11-10,2022-12-02,22,In-App Banner,1,
ADO000733,CUST01896,FEAT001,20220816,2022-08-16,2022-08-26,10,Push Notification,1,29.0
ADO000734,CUST03491,FEAT007,20230506,2023-05-06,2023-05-07,1,In-App Banner,1,10.0
ADO000735,CUST04177,FEAT001,20230314,2023-03-14,2023-04-03,20,Push Notification,0,17.0
ADO000736,CUST00424,FEAT002,20221108,2022-11-08,2022-11-11,3,In-App Banner,1,17.0
ADO000737,CUST02206,FEAT008,20230108,2023-01-08,2023-01-16,8,Referral,1,26.0
ADO000738,CUST02876,FEAT003,20230305,2023-03-05,2023-03-12,7,Referral,1,34.0
ADO000739,CUST02621,FEAT001,20220218,2022-02-18,2022-02-23,5,Push Notification,1,40.0
ADO000740,CUST00335,FEAT006,20220101,2022-01-01,2022-01-02,1,Email,0,58.0
ADO000741,CUST02635,FEAT006,20220806,2022-08-06,2022-08-15,9,In-App Banner,0,28.0
ADO000742,CUST03868,FEAT004,20221014,2022-10-14,2022-11-12,29,Push Notification,0,26.0
ADO000743,CUST04969,FEAT002,20220414,2022-04-14,2022-04-27,13,Push Notification,1,52.0
ADO000744,CUST01515,FEAT003,20220916,2022-09-16,2022-10-16,30,Email,1,29.0
ADO000745,CUST04025,FEAT002,20230108,2023-01-08,2023-01-18,10,Push Notification,1,55.0
ADO000746,CUST02494,FEAT005,20220425,2022-04-25,2022-04-28,3,Email,1,52.0
ADO000747,CUST00112,FEAT006,20230720,2023-07-20,2023-08-13,24,In-App Banner,1,33.0
ADO000748,CUST01068,FEAT004,20221206,2022-12-06,2022-12-17,11,In-App Banner,1,19.0
ADO000749,CUST02961,FEAT005,20230626,2023-06-26,2023-07-15,19,Referral,1,3.0
ADO000750,CUST03045,FEAT004,20220901,2022-09-01,2022-09-21,20,Email,1,43.0
ADO000751,CUST02261,FEAT005,20220804,2022-08-04,2022-08-22,18,In-App Banner,1,48.0
ADO000752,CUST03147,FEAT006,20220331,2022-03-31,2022-04-28,28,In-App Banner,0,6.0
ADO000753,CUST00872,FEAT007,20220514,2022-05-14,2022-06-03,20,Push Notification,1,
ADO000754,CUST04931,FEAT001,20220504,2022-05-04,2022-05-05,1,Email,1,31.0
ADO000755,CUST04806,FEAT001,20220715,2022-07-15,2022-07-21,6,Push Notification,1,2.0
ADO000756,CUST03652,FEAT006,20220412,2022-04-12,2022-04-14,2,In-App Banner,0,24.0
ADO000757,CUST04478,FEAT007,20221218,2022-12-18,2022-12-27,9,Push Notification,1,31.0
ADO000758,CUST03885,FEAT001,20220726,2022-07-26,2022-08-12,17,In-App Banner,1,3.0
ADO000759,CUST01259,FEAT003,20220214,2022-02-14,2022-02-18,4,Organic,0,18.0
ADO000760,CUST01571,FEAT001,20230305,2023-03-05,2023-03-22,17,In-App Banner,0,36.0
ADO000761,CUST02069,FEAT004,20230728,2023-07-28,2023-08-08,11,Email,1,
ADO000762,CUST02999,FEAT002,20230405,2023-04-05,2023-04-25,20,Push Notification,1,
ADO000763,CUST00962,FEAT002,20230323,2023-03-23,2023-03-25,2,Referral,1,
ADO000764,CUST03956,FEAT005,20230306,2023-03-06,2023-03-22,16,Referral,1,
ADO000765,CUST04128,FEAT008,20220123,2022-01-23,2022-01-28,5,Email,1,24.0
ADO000766,CUST04909,FEAT002,20221008,2022-10-08,2022-10-30,22,In-App Banner,1,8.0
ADO000767,CUST01057,FEAT001,20221024,2022-10-24,2022-10-25,1,Push Notification,1,8.0
ADO000768,CUST04639,FEAT003,20220304,2022-03-04,2022-03-29,25,Push Notification,1,
ADO000769,CUST01559,FEAT003,20230212,2023-02-12,2023-02-27,15,In-App Banner,1,41.0
ADO000770,CUST04362,FEAT002,20230610,2023-06-10,2023-06-12,2,In-App Banner,1,5.0
ADO000771,CUST01356,FEAT001,20230325,2023-03-25,2023-04-18,24,Email,1,42.0
ADO000772,CUST04173,FEAT002,20230129,2023-01-29,2023-02-15,17,Push Notification,1,4.0
ADO000773,CUST03197,FEAT001,20230215,2023-02-15,2023-03-06,19,Email,1,40.0
ADO000774,CUST02225,FEAT001,20220731,2022-07-31,2022-08-05,5,Push Notification,1,20.0
ADO000775,CUST00030,FEAT003,20220613,2022-06-13,2022-07-01,18,In-App Banner,0,
ADO000776,CUST01785,FEAT002,20220110,2022-01-10,2022-02-07,28,Organic,1,35.0
ADO000777,CUST04201,FEAT005,20230412,2023-04-12,2023-04-28,16,Email,1,2.0
ADO000778,CUST04302,FEAT003,20220923,2022-09-23,2022-10-02,9,In-App Banner,1,48.0
ADO000779,CUST01805,FEAT001,20221031,2022-10-31,2022-11-22,22,In-App Banner,1,29.0
ADO000780,CUST02200,FEAT001,20230720,2023-07-20,2023-07-23,3,Push Notification,1,26.0
ADO000781,CUST01402,FEAT001,20220818,2022-08-18,2022-08-19,1,Organic,1,42.0
ADO000782,CUST04371,FEAT004,20220901,2022-09-01,2022-09-10,9,Push Notification,1,26.0
ADO000783,CUST00321,FEAT003,20220601,2022-06-01,2022-07-01,30,Push Notification,0,
ADO000784,CUST02276,FEAT002,20220517,2022-05-17,2022-05-25,8,In-App Banner,1,2.0
ADO000785,CUST00423,FEAT002,20220912,2022-09-12,2022-10-08,26,Email,1,24.0
ADO000786,CUST01721,FEAT001,20230702,2023-07-02,2023-07-05,3,In-App Banner,1,16.0
ADO000787,CUST00012,FEAT002,20221222,2022-12-22,2023-01-11,20,In-App Banner,1,
ADO000788,CUST04958,FEAT002,20230113,2023-01-13,2023-01-23,10,Organic,1,15.0
ADO000789,CUST00682,FEAT001,20230717,2023-07-17,2023-07-25,8,Organic,0,38.0
ADO000790,CUST01095,FEAT006,20230223,2023-02-23,2023-03-23,28,In-App Banner,1,60.0
ADO000791,CUST02416,FEAT003,20221129,2022-11-29,2022-11-30,1,Push Notification,1,29.0
ADO000792,CUST00086,FEAT004,20221231,2022-12-31,2023-01-07,7,Email,0,5.0
ADO000793,CUST02292,FEAT001,20220630,2022-06-30,2022-07-08,8,In-App Banner,0,20.0
ADO000794,CUST00129,FEAT001,20230705,2023-07-05,2023-07-26,21,Referral,1,30.0
ADO000795,CUST04779,FEAT002,20220419,2022-04-19,2022-05-12,23,In-App Banner,1,35.0
ADO000796,CUST03130,FEAT004,20220921,2022-09-21,2022-10-18,27,In-App Banner,1,42.0
ADO000797,CUST04951,FEAT003,20230719,2023-07-19,2023-07-25,6,In-App Banner,1,25.0
ADO000798,CUST03623,FEAT002,20220814,2022-08-14,2022-08-24,10,Push Notification,0,3.0
ADO000799,CUST02202,FEAT001,20220728,2022-07-28,2022-08-15,18,In-App Banner,1,7.0
ADO000800,CUST03240,FEAT001,20220609,2022-06-09,2022-06-23,14,Email,1,13.0
ADO000801,CUST01899,FEAT002,20230321,2023-03-21,2023-04-01,11,Referral,1,11.0
ADO000802,CUST01216,FEAT004,20230506,2023-05-06,2023-05-08,2,Push Notification,1,60.0
ADO000803,CUST04063,FEAT002,20220705,2022-07-05,2022-07-19,14,Organic,1,28.0
ADO000804,CUST01516,FEAT002,20220630,2022-06-30,2022-07-06,6,Referral,0,34.0
ADO000805,CUST04667,FEAT004,20230518,2023-05-18,2023-06-17,30,Push Notification,0,7.0
ADO000806,CUST01478,FEAT003,20221016,2022-10-16,2022-10-16,0,Referral,1,29.0
ADO000807,CUST02541,FEAT001,20220616,2022-06-16,2022-07-14,28,Push Notification,1,36.0
ADO000808,CUST01456,FEAT008,20230208,2023-02-08,2023-03-01,21,Referral,1,31.0
ADO000809,CUST04980,FEAT001,20220712,2022-07-12,2022-07-14,2,In-App Banner,0,14.0
ADO000810,CUST01176,FEAT003,20220315,2022-03-15,2022-03-28,13,Push Notification,1,5.0
ADO000811,CUST02010,FEAT002,20230411,2023-04-11,2023-05-10,29,Push Notification,1,60.0
ADO000812,CUST03298,FEAT002,20220413,2022-04-13,2022-05-06,23,Organic,1,4.0
ADO000813,CUST04316,FEAT001,20220521,2022-05-21,2022-06-13,23,Referral,0,58.0
ADO000814,CUST00097,FEAT002,20220413,2022-04-13,2022-04-25,12,In-App Banner,1,
ADO000815,CUST03146,FEAT001,20220122,2022-01-22,2022-01-25,3,Referral,1,26.0
ADO000816,CUST00112,FEAT001,20220214,2022-02-14,2022-02-18,4,In-App Banner,1,26.0
ADO000817,CUST02035,FEAT004,20220327,2022-03-27,2022-04-04,8,Push Notification,1,
ADO000818,CUST04913,FEAT001,20220114,2022-01-14,2022-02-08,25,Referral,1,
ADO000819,CUST00077,FEAT001,20220419,2022-04-19,2022-05-06,17,Email,1,43.0
ADO000820,CUST02773,FEAT001,20220329,2022-03-29,2022-04-04,6,Email,1,8.0
ADO000821,CUST01141,FEAT003,20230507,2023-05-07,2023-05-31,24,Push Notification,1,58.0
ADO000822,CUST04611,FEAT006,20230331,2023-03-31,2023-04-26,26,Push Notification,0,41.0
ADO000823,CUST01337,FEAT001,20221111,2022-11-11,2022-11-21,10,In-App Banner,1,27.0
ADO000824,CUST03924,FEAT001,20220608,2022-06-08,2022-06-15,7,Email,0,53.0
ADO000825,CUST00458,FEAT006,20230711,2023-07-11,2023-08-02,22,Email,1,8.0
ADO000826,CUST02192,FEAT004,20230711,2023-07-11,2023-07-14,3,Organic,0,23.0
ADO000827,CUST00174,FEAT002,20220215,2022-02-15,2022-02-18,3,Push Notification,1,57.0
ADO000828,CUST04462,FEAT001,20221031,2022-10-31,2022-11-03,3,Push Notification,1,24.0
ADO000829,CUST04191,FEAT005,20230302,2023-03-02,2023-03-06,4,In-App Banner,1,3.0
ADO000830,CUST00010,FEAT008,20220818,2022-08-18,2022-08-18,0,In-App Banner,1,12.0
ADO000831,CUST01857,FEAT002,20230314,2023-03-14,2023-03-26,12,In-App Banner,1,11.0
ADO000832,CUST01208,FEAT003,20221228,2022-12-28,2023-01-17,20,In-App Banner,1,28.0
ADO000833,CUST02350,FEAT008,20220820,2022-08-20,2022-09-18,29,Push Notification,1,14.0
ADO000834,CUST03152,FEAT004,20220426,2022-04-26,2022-05-11,15,Email,1,
ADO000835,CUST01390,FEAT003,20220423,2022-04-23,2022-04-30,7,Organic,0,
ADO000836,CUST00834,FEAT004,20221016,2022-10-16,2022-10-27,11,Push Notification,1,28.0
ADO000837,CUST00625,FEAT008,20221208,2022-12-08,2022-12-11,3,Referral,1,8.0
ADO000838,CUST02954,FEAT001,20220328,2022-03-28,2022-04-25,28,Referral,1,46.0
ADO000839,CUST00356,FEAT002,20220604,2022-06-04,2022-06-09,5,In-App Banner,1,1.0
ADO000840,CUST03512,FEAT004,20230628,2023-06-28,2023-07-08,10,Email,0,34.0
ADO000841,CUST04913,FEAT006,20220705,2022-07-05,2022-07-26,21,Email,1,12.0
ADO000842,CUST03484,FEAT006,20220603,2022-06-03,2022-07-01,28,Push Notification,1,45.0
ADO000843,CUST02471,FEAT005,20221021,2022-10-21,2022-11-01,11,Organic,1,
ADO000844,CUST00852,FEAT001,20221005,2022-10-05,2022-11-03,29,In-App Banner,1,
ADO000845,CUST04090,FEAT003,20230113,2023-01-13,2023-02-11,29,In-App Banner,1,53.0
ADO000846,CUST02175,FEAT004,20220320,2022-03-20,2022-04-14,25,Organic,1,27.0
ADO000847,CUST00018,FEAT002,20220602,2022-06-02,2022-06-26,24,Push Notification,1,
ADO000848,CUST01201,FEAT001,20221124,2022-11-24,2022-11-28,4,Email,1,30.0
ADO000849,CUST03200,FEAT001,20230403,2023-04-03,2023-04-26,23,Push Notification,0,57.0
ADO000850,CUST03920,FEAT005,20220310,2022-03-10,2022-03-13,3,In-App Banner,0,31.0
ADO000851,CUST04734,FEAT001,20230314,2023-03-14,2023-04-13,30,Organic,1,9.0
ADO000852,CUST01186,FEAT004,20220403,2022-04-03,2022-04-13,10,Push Notification,1,10.0
ADO000853,CUST01045,FEAT001,20220706,2022-07-06,2022-07-30,24,Email,1,7.0
ADO000854,CUST03155,FEAT001,20221228,2022-12-28,2023-01-07,10,Email,1,10.0
ADO000855,CUST04049,FEAT004,20230311,2023-03-11,2023-03-26,15,In-App Banner,1,42.0
ADO000856,CUST03392,FEAT003,20221208,2022-12-08,2022-12-12,4,In-App Banner,0,
ADO000857,CUST02015,FEAT005,20230128,2023-01-28,2023-02-10,13,In-App Banner,0,7.0
ADO000858,CUST04501,FEAT002,20230525,2023-05-25,2023-06-11,17,Referral,1,28.0
ADO000859,CUST04373,FEAT001,20230520,2023-05-20,2023-06-06,17,Push Notification,0,5.0
ADO000860,CUST04393,FEAT002,20220824,2022-08-24,2022-09-05,12,Referral,1,19.0
ADO000861,CUST00685,FEAT001,20230818,2023-08-18,2023-09-09,22,In-App Banner,1,51.0
ADO000862,CUST03456,FEAT007,20230624,2023-06-24,2023-07-12,18,Email,1,39.0
ADO000863,CUST01797,FEAT002,20220331,2022-03-31,2022-04-07,7,Email,1,9.0
ADO000864,CUST02964,FEAT001,20220103,2022-01-03,2022-01-09,6,Push Notification,1,46.0
ADO000865,CUST00141,FEAT005,20230107,2023-01-07,2023-01-24,17,Organic,0,25.0
ADO000866,CUST03883,FEAT003,20220517,2022-05-17,2022-06-15,29,Referral,1,
ADO000867,CUST00903,FEAT002,20220303,2022-03-03,2022-04-01,29,Organic,1,18.0
ADO000868,CUST02862,FEAT006,20230105,2023-01-05,2023-02-01,27,In-App Banner,1,41.0
ADO000869,CUST01142,FEAT001,20221029,2022-10-29,2022-11-12,14,In-App Banner,1,33.0
ADO000870,CUST01181,FEAT008,20230719,2023-07-19,2023-08-17,29,In-App Banner,1,12.0
ADO000871,CUST03450,FEAT006,20220906,2022-09-06,2022-09-12,6,In-App Banner,1,
ADO000872,CUST01840,FEAT004,20220227,2022-02-27,2022-03-22,23,In-App Banner,0,21.0
ADO000873,CUST01129,FEAT002,20220501,2022-05-01,2022-05-31,30,In-App Banner,0,53.0
ADO000874,CUST01173,FEAT001,20230122,2023-01-22,2023-02-14,23,In-App Banner,1,57.0
ADO000875,CUST00216,FEAT001,20230311,2023-03-11,2023-03-22,11,Referral,1,17.0
ADO000876,CUST00444,FEAT002,20220419,2022-04-19,2022-05-10,21,Email,1,45.0
ADO000877,CUST04765,FEAT005,20220317,2022-03-17,2022-04-01,15,In-App Banner,1,
ADO000878,CUST04866,FEAT003,20220611,2022-06-11,2022-06-11,0,Email,0,
ADO000879,CUST01204,FEAT001,20230110,2023-01-10,2023-01-14,4,Push Notification,1,27.0
ADO000880,CUST00648,FEAT004,20220908,2022-09-08,2022-09-10,2,In-App Banner,0,7.0
ADO000881,CUST00103,FEAT002,20230806,2023-08-06,2023-09-01,26,Push Notification,1,20.0
ADO000882,CUST03412,FEAT003,20220603,2022-06-03,2022-06-27,24,In-App Banner,0,
ADO000883,CUST01495,FEAT003,20230427,2023-04-27,2023-05-20,23,Push Notification,1,32.0
ADO000884,CUST01148,FEAT003,20230625,2023-06-25,2023-07-17,22,In-App Banner,1,44.0
ADO000885,CUST02454,FEAT002,20230427,2023-04-27,2023-05-10,13,Email,1,43.0
ADO000886,CUST02764,FEAT006,20230331,2023-03-31,2023-04-25,25,Push Notification,1,18.0
ADO000887,CUST00109,FEAT001,20221021,2022-10-21,2022-10-24,3,In-App Banner,1,
ADO000888,CUST01278,FEAT001,20220303,2022-03-03,2022-03-31,28,Email,1,
ADO000889,CUST04950,FEAT007,20220627,2022-06-27,2022-07-13,16,In-App Banner,1,41.0
ADO000890,CUST01314,FEAT003,20220112,2022-01-12,2022-01-24,12,In-App Banner,0,45.0
ADO000891,CUST03471,FEAT007,20230411,2023-04-11,2023-04-28,17,Referral,1,33.0
ADO000892,CUST02114,FEAT006,20230809,2023-08-09,2023-08-25,16,Email,1,1.0
ADO000893,CUST02508,FEAT005,20220821,2022-08-21,2022-09-03,13,In-App Banner,0,26.0
ADO000894,CUST01285,FEAT002,20221006,2022-10-06,2022-10-08,2,In-App Banner,1,37.0
ADO000895,CUST04273,FEAT006,20230122,2023-01-22,2023-02-21,30,Organic,1,8.0
ADO000896,CUST01026,FEAT001,20220805,2022-08-05,2022-08-17,12,Push Notification,1,23.0
ADO000897,CUST00459,FEAT002,20220813,2022-08-13,2022-08-25,12,In-App Banner,1,
ADO000898,CUST01505,FEAT005,20230727,2023-07-27,2023-08-15,19,In-App Banner,1,
ADO000899,CUST00633,FEAT004,20230425,2023-04-25,2023-05-10,15,Push Notification,0,27.0
ADO000900,CUST02566,FEAT006,20230219,2023-02-19,2023-03-17,26,Organic,1,41.0
ADO000901,CUST03117,FEAT001,20220618,2022-06-18,2022-06-19,1,In-App Banner,1,6.0
ADO000902,CUST03044,FEAT004,20230311,2023-03-11,2023-03-17,6,Organic,0,6.0
ADO000903,CUST02212,FEAT002,20220422,2022-04-22,2022-04-25,3,Email,1,53.0
ADO000904,CUST00638,FEAT003,20230107,2023-01-07,2023-01-26,19,In-App Banner,1,4.0
ADO000905,CUST02749,FEAT007,20220129,2022-01-29,2022-02-05,7,In-App Banner,1,
ADO000906,CUST02312,FEAT002,20220616,2022-06-16,2022-07-03,17,Email,1,45.0
ADO000907,CUST00873,FEAT003,20220308,2022-03-08,2022-03-14,6,In-App Banner,1,47.0
ADO000908,CUST04892,FEAT001,20220112,2022-01-12,2022-02-05,24,Referral,1,35.0
ADO000909,CUST02533,FEAT002,20220712,2022-07-12,2022-07-29,17,Email,1,38.0
ADO000910,CUST01653,FEAT003,20220203,2022-02-03,2022-02-10,7,Organic,1,5.0
ADO000911,CUST02206,FEAT004,20220329,2022-03-29,2022-04-16,18,Push Notification,1,18.0
ADO000912,CUST04627,FEAT001,20220215,2022-02-15,2022-03-05,18,Organic,1,45.0
ADO000913,CUST03964,FEAT001,20220216,2022-02-16,2022-02-17,1,Email,1,20.0
ADO000914,CUST02578,FEAT008,20220406,2022-04-06,2022-05-06,30,Push Notification,1,
ADO000915,CUST02529,FEAT002,20220109,2022-01-09,2022-01-20,11,Referral,1,28.0
ADO000916,CUST02314,FEAT006,20230212,2023-02-12,2023-02-28,16,Push Notification,1,17.0
ADO000917,CUST01597,FEAT003,20221119,2022-11-19,2022-12-13,24,Push Notification,1,58.0
ADO000918,CUST02916,FEAT001,20220513,2022-05-13,2022-06-04,22,In-App Banner,1,18.0
ADO000919,CUST02715,FEAT003,20230222,2023-02-22,2023-03-22,28,Email,1,59.0
ADO000920,CUST04126,FEAT003,20220414,2022-04-14,2022-04-30,16,In-App Banner,0,45.0
ADO000921,CUST01231,FEAT003,20220125,2022-01-25,2022-02-12,18,In-App Banner,1,43.0
ADO000922,CUST03131,FEAT003,20230504,2023-05-04,2023-05-22,18,Email,1,34.0
ADO000923,CUST00307,FEAT004,20221025,2022-10-25,2022-10-30,5,Referral,1,31.0
ADO000924,CUST01242,FEAT003,20230420,2023-04-20,2023-04-22,2,Push Notification,1,52.0
ADO000925,CUST00765,FEAT003,20220826,2022-08-26,2022-09-23,28,Email,1,59.0
ADO000926,CUST01767,FEAT003,20220525,2022-05-25,2022-06-18,24,In-App Banner,1,56.0
ADO000927,CUST01320,FEAT002,20230529,2023-05-29,2023-06-14,16,Organic,0,30.0
ADO000928,CUST04987,FEAT003,20230620,2023-06-20,2023-07-19,29,In-App Banner,1,34.0
ADO000929,CUST02797,FEAT001,20230404,2023-04-04,2023-04-29,25,Push Notification,1,11.0
ADO000930,CUST01075,FEAT006,20221214,2022-12-14,2022-12-23,9,In-App Banner,1,
ADO000931,CUST02952,FEAT001,20230318,2023-03-18,2023-03-19,1,Push Notification,1,
ADO000932,CUST03176,FEAT001,20220902,2022-09-02,2022-09-08,6,In-App Banner,1,43.0
ADO000933,CUST04972,FEAT004,20220318,2022-03-18,2022-04-17,30,In-App Banner,1,34.0
ADO000934,CUST01249,FEAT003,20230804,2023-08-04,2023-08-24,20,Push Notification,1,14.0
ADO000935,CUST04076,FEAT001,20220410,2022-04-10,2022-05-05,25,Push Notification,1,5.0
ADO000936,CUST00123,FEAT003,20220527,2022-05-27,2022-06-20,24,Referral,1,21.0
ADO000937,CUST02536,FEAT004,20230715,2023-07-15,2023-08-11,27,Email,1,33.0
ADO000938,CUST00715,FEAT004,20230526,2023-05-26,2023-05-29,3,In-App Banner,1,
ADO000939,CUST03726,FEAT008,20221118,2022-11-18,2022-11-23,5,In-App Banner,0,24.0
ADO000940,CUST02422,FEAT005,20220615,2022-06-15,2022-06-17,2,Push Notification,1,38.0
ADO000941,CUST02295,FEAT003,20230814,2023-08-14,2023-08-25,11,Referral,0,55.0
ADO000942,CUST02895,FEAT005,20220402,2022-04-02,2022-04-04,2,Organic,1,52.0
ADO000943,CUST01468,FEAT001,20230417,2023-04-17,2023-04-25,8,Push Notification,1,
ADO000944,CUST03877,FEAT004,20220920,2022-09-20,2022-10-14,24,In-App Banner,0,45.0
ADO000945,CUST03622,FEAT006,20220524,2022-05-24,2022-06-23,30,Referral,1,32.0
ADO000946,CUST01016,FEAT006,20230806,2023-08-06,2023-08-21,15,Push Notification,1,
ADO000947,CUST00325,FEAT005,20230108,2023-01-08,2023-02-04,27,Email,1,41.0
ADO000948,CUST02349,FEAT005,20230215,2023-02-15,2023-02-28,13,Referral,0,4.0
ADO000949,CUST03612,FEAT001,20230111,2023-01-11,2023-01-27,16,In-App Banner,1,23.0
ADO000950,CUST02570,FEAT004,20230118,2023-01-18,2023-01-20,2,Push Notification,1,
ADO000951,CUST03385,FEAT004,20230603,2023-06-03,2023-06-17,14,Referral,1,13.0
ADO000952,CUST02154,FEAT001,20220213,2022-02-13,2022-03-04,19,Referral,1,33.0
ADO000953,CUST00468,FEAT001,20220908,2022-09-08,2022-09-30,22,In-App Banner,0,
ADO000954,CUST04595,FEAT001,20220109,2022-01-09,2022-01-13,4,In-App Banner,1,15.0
ADO000955,CUST00863,FEAT002,20221025,2022-10-25,2022-11-06,12,Email,1,36.0
ADO000956,CUST01297,FEAT001,20230807,2023-08-07,2023-08-19,12,Referral,1,12.0
ADO000957,CUST00598,FEAT001,20220817,2022-08-17,2022-08-29,12,Referral,1,
ADO000958,CUST03787,FEAT001,20220406,2022-04-06,2022-04-17,11,Referral,1,54.0
ADO000959,CUST03817,FEAT001,20230425,2023-04-25,2023-05-15,20,Referral,0,8.0
ADO000960,CUST04384,FEAT008,20230422,2023-04-22,2023-04-25,3,In-App Banner,0,50.0
ADO000961,CUST00704,FEAT001,20220704,2022-07-04,2022-07-27,23,In-App Banner,1,35.0
ADO000962,CUST00888,FEAT004,20230211,2023-02-11,2023-03-07,24,Referral,1,18.0
ADO000963,CUST03549,FEAT002,20220724,2022-07-24,2022-08-05,12,Referral,1,54.0
ADO000964,CUST02693,FEAT007,20220308,2022-03-08,2022-03-18,10,Push Notification,1,35.0
ADO000965,CUST02806,FEAT001,20230513,2023-05-13,2023-05-19,6,In-App Banner,1,28.0
ADO000966,CUST03902,FEAT003,20220428,2022-04-28,2022-05-06,8,Email,1,
ADO000967,CUST03724,FEAT003,20220209,2022-02-09,2022-02-26,17,Push Notification,1,27.0
ADO000968,CUST01276,FEAT007,20230427,2023-04-27,2023-05-01,4,Push Notification,1,52.0
ADO000969,CUST01749,FEAT003,20221124,2022-11-24,2022-12-12,18,Push Notification,1,44.0
ADO000970,CUST00257,FEAT003,20230125,2023-01-25,2023-01-26,1,Push Notification,1,42.0
ADO000971,CUST02962,FEAT001,20230317,2023-03-17,2023-04-01,15,In-App Banner,0,6.0
ADO000972,CUST01749,FEAT002,20220225,2022-02-25,2022-03-03,6,Referral,1,
ADO000973,CUST00188,FEAT002,20230310,2023-03-10,2023-03-18,8,Organic,1,58.0
ADO000974,CUST02065,FEAT001,20220630,2022-06-30,2022-07-02,2,In-App Banner,1,25.0
ADO000975,CUST01162,FEAT004,20220312,2022-03-12,2022-03-20,8,Referral,1,38.0
ADO000976,CUST03319,FEAT003,20220325,2022-03-25,2022-04-03,9,Referral,1,
ADO000977,CUST03699,FEAT003,20230306,2023-03-06,2023-03-22,16,Organic,0,7.0
ADO000978,CUST01754,FEAT002,20220923,2022-09-23,2022-09-28,5,Referral,1,7.0
ADO000979,CUST00441,FEAT003,20220405,2022-04-05,2022-05-03,28,In-App Banner,0,19.0
ADO000980,CUST03511,FEAT002,20221217,2022-12-17,2023-01-16,30,Push Notification,0,15.0
